name,n,nnz,aver_nnz,var_nnz,ell_ratio, median,mode_element,SD_nnz,TB_size,maxregcount,mem_setting,format,energy,performance,av_pow,perf_per_watt,,mem_setting,0=Equal,1=L1,2=None,3=Shared
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,16,1,0,0.015540932,530.1152,29.27438711,218276447.2,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,24,1,0,0.015278933,519.3092,29.42867846,221650220.8,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,32,1,0,0.014430666,492.517,29.24390009,235184354.8,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,40,1,0,0.014671124,496.6762,29.45072764,231577075.8,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,48,1,0,0.014658068,496.748,29.43206414,231690430.4,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,56,1,0,0.014641374,496.033,29.45981647,231805821,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,64,1,0,0.014656075,495.0534,29.47565411,232139714.3,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,72,1,0,0.014623437,496.049,29.4735036,231690699.9,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,128,1,0,0.014658776,496.5058,29.49466681,231311446.3,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,128,255,1,0,0.014736253,498.9596,29.46311366,230420397.1,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,16,1,0,0.016584084,561.2954,29.51013196,204504236.9,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,24,1,0,0.015586354,536.747,29.16472562,216390118.1,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,32,1,0,0.014546199,504.4956,28.85456915,232698170,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,40,1,0,0.014881013,504.0782,29.47348044,228000398.2,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,48,1,0,0.014938023,505.8768,29.43159914,227513055,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,56,1,0,0.015008259,507.9478,29.47907543,226220523.3,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,64,1,0,0.014907694,503.9636,29.45845879,228168534.7,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,72,1,0,0.014984348,507.036,29.50300733,226443501.5,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,128,1,0,0.015027805,508.6048,29.49381016,225815427.7,,,,,,
amazon0601,403394,3387388,8.39722,7.785032,0.839722,10,3,2.790167,256,255,1,0,0.015037217,508.6702,29.4707656,225962947.3,,,,,,
